Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2,row_id_3
Fialho et al. 2014,-34.97116667,-6.557944444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3213,294,area,1,0,309.0114085,2,16,11
Fialho et al. 2014,-35.10597222,-6.731888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3218,617,area,1,0,340.8928109,7,17,12
Fialho et al. 2014,-35.013,-7.777611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3240,445,area,1,0,387.6155557,29,18,13
Fialho et al. 2014,-34.86075,-7.14575,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3232,349,area,1,0,500.024983,21,19,14
Fialho et al. 2014,-35.40391667,-8.712666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3242,1,area,0,42.80495886,501.3991814,31,20,15
Fialho et al. 2014,-34.92133333,-6.994111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3234,832,area,1,0,521.0044116,23,21,16
Fialho et al. 2014,-34.99244444,-7.600861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3237,226,area,1,0,710.368948,26,22,17
Fialho et al. 2014,-36.23536111,-9.757416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3247,203,area,1,0,726.3096492,36,23,18
Fialho et al. 2014,-35.08825,-7.192805556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3231,246,area,1,0,795.1111813,20,24,19
Fialho et al. 2014,-36.18222222,-10.03508333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3250,4,area,0,60.53535336,934.2716703,39,25,20
Fialho et al. 2014,-36.29533333,-10.00791667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3251,1,area,0,95.7147978,945.9065499,40,26,21
Aguiar et al. 2007,-53.30305556,-22.72472222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2342,1,area,0,281.8623936,0.096885865,16,38,22
Aguiar et al. 2007,-53.30944444,-22.77527778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2344,4,area,0,44.01951034,0.193771729,18,39,23
Aguiar et al. 2007,-53.325,-22.72916667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2346,1,area,0,295.2918524,1.06574451,20,40,24
Aguiar et al. 2007,-53.34805556,-22.75027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2353,1,area,0,69.60095708,1.453287968,27,41,25
Aguiar et al. 2007,-53.32805556,-22.75888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2348,1,area,0,93.3794828,1.647059697,22,42,26
Aguiar et al. 2007,-53.28361111,-22.77666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2341,2,area,0,124.5059771,2.034603155,15,43,27
Aguiar et al. 2007,-53.27861111,-22.70388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2339,1,area,0,376.1028612,5.231836685,13,44,28
Aguiar et al. 2007,-53.07222222,-22.64305556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2327,1,area,0,265.9448836,5.328722549,1,45,29
Aguiar et al. 2007,-53.22583333,-22.73833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2335,1,area,0,31.12649427,13.37024931,9,46,30
Aguiar et al. 2007,-53.07888889,-22.64916667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2328,1,area,0,31.12649427,14.62976554,2,47,31
Aguiar et al. 2007,-53.26638889,-22.73888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2338,1,area,0,295.2918524,15.59862419,12,48,32
Aguiar et al. 2007,-53.39777778,-22.81083333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2357,1,area,0,112.2281711,19.28028704,31,49,33
Aguiar et al. 2007,-53.13472222,-22.65111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2329,1,area,0,62.25298853,19.76471637,3,50,34
Aguiar et al. 2007,-53.25805556,-22.81194444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2336,1,area,0,44.01951034,28.48444417,10,51,35
Aguiar et al. 2007,-53.215,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2333,51,area,1,0,34.00693845,7,52,36
Aguiar et al. 2007,-53.20722222,-22.7375,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2331,1,area,0,132.058531,40.88583483,5,53,37
Aguiar et al. 2007,-53.32694444,-22.78777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2347,295,area,1,0,43.40486731,21,54,38
Aguiar et al. 2007,-53.30694444,-22.84361111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2343,85,area,1,0,51.05885061,17,55,39
Aguiar et al. 2007,-53.26361111,-22.75555556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2337,1,area,0,31.12649427,58.80971977,11,56,40
Aguiar et al. 2007,-53.35527778,-22.8,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2354,2,area,0,62.25298853,78.09000682,28,57,41
Aguiar et al. 2007,-53.3825,-22.80055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2356,300,area,1,0,90.29762575,30,58,42
Aguiar et al. 2007,-53.33472222,-22.86027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2349,40,area,1,0,117.8132113,23,59,43
Aguiar et al. 2007,-53.33583333,-22.87861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2350,39,area,1,0,128.2768846,24,60,44
Aguiar et al. 2007,-53.31388889,-22.78583333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2345,210,area,1,0,182.0485395,19,61,45
Aguiar et al. 2007,-53.21166667,-22.72583333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2332,56,area,1,0,188.4430065,6,62,46
Aguiar et al. 2007,-53.34222222,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2351,138,area,0,31.12649427,217.7025376,25,63,47
Aguiar et al. 2007,-53.37805556,-22.81888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2355,228,area,1,0,446.4500638,29,64,48
Aguiar et al. 2007,-53.28305556,-22.75694444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2340,118,area,1,0,519.5020056,14,65,49
"Gestich, 2016",-47.92260278,-21.91908889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5655,101,area,1,0,10.04638349,13,66,50
"Gestich, 2016",-47.78342222,-21.90458056,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5646,1,area,0,44.38332025,11.91776865,4,67,51
"Gestich, 2016",-47.89529167,-21.96286389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5654,120,area,1,0,14.77409337,12,68,52
"Gestich, 2016",-47.99478333,-21.62144167,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5658,38,area,1,0,46.39065319,16,69,53
"Gestich, 2016",-47.56750556,-21.81781389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5643,124,area,1,0,64.80902293,1,70,54
"Gestich, 2016",-47.92631944,-21.73179444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5656,16,area,0,31.38374672,80.27257399,14,71,55
"Gestich, 2016",-47.84073333,-21.63543611,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5653,147,area,1,0,84.704802,11,72,56
"Gestich, 2016",-47.72764167,-22.00080278,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5649,84,area,1,0,85.59124761,7,73,57
"Gestich, 2016",-47.77453056,-21.70749167,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5650,98,area,1,0,87.95510255,8,74,58
"Gestich, 2016",-47.6527,-21.73751111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5644,51,area,1,0,140.2553931,2,75,59
"Gestich, 2016",-47.68424722,-21.79814722,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5645,61,area,1,0,210.1861017,3,76,60
"Gestich, 2016",-47.82331667,-21.396725,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5651,46,area,1,0,215.2092935,9,77,61
"Gestich, 2016",-47.85143889,-21.82875,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5647,193,area,1,0,260.3195252,5,78,62
"Gestich, 2016",-47.83805278,-21.97695,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5652,102,area,1,0,288.1933147,10,79,63
"Gestich, 2016",-47.93160833,-21.813775,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5657,94,area,1,0,360.6848662,15,80,64
"Gestich, 2016",-47.59541389,-21.72734444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5648,66,area,1,0,362.5562514,6,81,65
Pyritz et al. 2010,-62.895966,-17.740141,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2358,1,area,0,495.4068798,11.09597748,1,82,66
Pyritz et al. 2010,-63.166785,-17.925957,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2362,40,area,0,96.9709789,54.35148293,5,83,67
Pyritz et al. 2010,-62.927585,-17.845909,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2359,259,area,1,0,249.1893249,2,84,68
Pyritz et al. 2010,-63.064902,-17.78048,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2360,74,area,1,0,266.3974933,3,85,69
Pyritz et al. 2010,-63.147683,-17.92593,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2361,235,area,1,0,447.506414,4,86,70
Barbisan 2008 (thesis),-53.86063611,-29.77628056,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2200,4,area,0,32.33768233,0.627435419,13,87,71
Barbisan 2008 (thesis),-53.86865833,-29.77307778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2201,198,area,1,0,1.568588547,14,88,72
Barbisan 2008 (thesis),-53.86974722,-29.75809722,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2199,213,area,1,0,2.823459385,12,89,73
Barbisan 2008 (thesis),-53.87841389,-29.77815833,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2194,1,area,0,32.33768233,5.124055922,7,90,74
Barbisan 2008 (thesis),-53.85162222,-29.74291111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2198,189,area,1,0,9.829821564,11,91,75
Barbisan 2008 (thesis),-53.83559444,-29.746025,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,0,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2196,169,area,1,0,11.0846924,9,92,76
Barbisan 2008 (thesis),-53.88381389,-29.76112222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2192,215,area,1,0,18.50934486,5,93,77
Barbisan 2008 (thesis),-53.87581389,-29.75615,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2191,212,area,1,0,23.84254592,4,94,78
Barbisan 2008 (thesis),-53.82789444,-29.73554444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2193,139,area,1,0,42.87475363,6,95,79
Barbisan 2008 (thesis),-53.82790556,-29.77951667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2190,109,area,1,0,46.01193073,3,96,80
de Almeida e Silva et al. 2017,-45.95861111,-23.20833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5914,1,area,0,345.1806101,0.590824729,9,103,81
de Almeida e Silva et al. 2017,-45.965,-23.23472222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5910,1,area,0,62.76011093,0.984707881,5,104,82
de Almeida e Silva et al. 2017,-45.94361111,-23.15472222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,0,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5923,1,area,0,474.8664072,1.280120245,18,105,83
de Almeida e Silva et al. 2017,-45.98055556,-23.20416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5911,1,area,0,140.3358743,1.969415762,6,106,84
de Almeida e Silva et al. 2017,-45.98777778,-23.15361111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,0,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5919,1,area,0,376.5606656,2.166357338,14,107,85
de Almeida e Silva et al. 2017,-45.98444444,-23.24555556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5913,155,area,1,0,3.151065219,8,108,86
de Almeida e Silva et al. 2017,-45.99555556,-23.1725,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5912,1,area,0,113.142399,3.348006795,7,109,87
de Almeida e Silva et al. 2017,-45.95222222,-23.16055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,0,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5920,1,area,0,309.0577041,6.69601359,15,110,88
