Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2,row_id_3
Fialho et al. 2014,-35.50072222,-9.227416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3244,1,area,0,193.8076942,0.274839676,33,6,1
Fialho et al. 2014,-35.05261111,-8.525777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Mangroves,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3241,567,area,1,0,61.65570054,30,7,2
Fialho et al. 2014,-35.13305556,-6.610527778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3215,351,area,1,0,96.46872611,4,8,3
Fialho et al. 2014,-36.30797222,-10.113,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3246,282,area,1,0,115.6158902,35,9,4
Fialho et al. 2014,-35.08458333,-6.646611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3217,483,area,1,0,126.6094772,6,10,5
Fialho et al. 2014,-35.98216667,-9.516777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3248,1,area,0,85.60991773,138.6108097,37,11,6
Fialho et al. 2014,-35.13152778,-6.570138889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3214,245,area,1,0,146.3063206,3,12,7
Fialho et al. 2014,-35.06152778,-6.637666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3216,745,area,1,0,266.9609381,5,13,8
Fialho et al. 2014,-34.97588889,-7.51325,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3236,313,area,1,0,277.2216194,25,14,9
Fialho et al. 2014,-35.15441667,-7.042833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3226,312,area,1,0,307.0875308,15,15,10
