Dataset,n,simulation_number,patch_comb_number,vars,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,habitat_amount,Cumulative_Occurrence,Source,Realm,Family,Genus,Taxon_ITIS,TaxonNameIUCN,redlistCategory,Occurrence,mean_patch_area_log
Alouatta_belzebul_a,3,1,1,1,488.8481695,342.7047979,466.8609955,488.8481695,458.4119658,157.6663605,842.0171526,684.350792,0.063893678,-2.333333333,197.8607073,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.689173993
Alouatta_belzebul_a,3,1,2,1,492.0240947,182.2297666,511.01857,492.0240947,226.829032,301.0410579,664.012656,362.9715981,-0.103101196,-2.333333333,105.2104048,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.691986371
Alouatta_belzebul_a,3,1,3,1,483.351376,310.9790518,319.0888633,483.351376,44.68667755,288.9481122,842.0171526,553.0690404,0.380836485,-2.333333333,179.5438393,twenty_percent,0,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,0,2.684262959
Alouatta_belzebul_a,3,1,4,1,493.9174346,350.5632503,466.8609955,493.9174346,458.4119658,157.6663605,857.2249479,699.5585874,0.076720167,-2.333333333,202.3977869,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.693654356
Alouatta_belzebul_a,5,1,5,1,297.2116251,265.4491373,164.9954185,297.2116251,84.61945324,107.9203793,754.4349093,646.51453,0.8957552,-1.160272511,118.7124631,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.473065792
Alouatta_belzebul_a,3,1,6,1,490.0391414,331.3653394,664.012656,490.0391414,50.66301133,107.9203793,698.184389,590.2640098,-0.380300381,-2.333333333,191.3138679,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.69023077
Alouatta_belzebul_a,4,1,7,1,366.2009643,267.1185097,312.263678,366.2009643,240.7511731,142.0921122,698.184389,556.0922768,0.226717732,-2.181757134,133.5592549,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.563719484
Alouatta_belzebul_a,2,1,8,1,726.3096492,39.77512432,726.3096492,726.3096492,41.69851067,698.184389,754.4349093,56.25052026,-2.13908E-15,-2.75,28.12526013,twenty_percent,0,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,0,2.861121814
Alouatta_belzebul_a,3,1,9,1,477.3049031,181.7110389,466.8609955,477.3049031,245.8446394,301.0410579,664.012656,362.9715981,0.057285497,-2.333333333,104.9109172,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.678795896
Alouatta_belzebul_a,4,1,10,1,359.0322294,351.0816179,230.5904878,359.0322294,156.5391972,107.9203793,867.027563,759.1071838,0.60651652,-1.802242277,175.5408089,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.555133436
Alouatta_belzebul_a,3,1,11,1,491.2911889,339.1713915,466.8609955,491.2911889,447.5459044,164.9954185,842.0171526,677.021734,0.071655351,-2.333333333,195.8206942,twenty_percent,0,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,0,2.691338975
Alouatta_belzebul_a,12,1,3,1,417.7410379,284.5193965,392.9749294,414.5223599,375.3545089,0.641292576,867.027563,866.3862704,0.102011095,-1.576255068,82.13367508,seventy_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.620907141
Alouatta_belzebul_a,12,1,4,1,421.863633,304.0521698,310.0649606,419.4694741,273.4851831,0.641292576,867.027563,866.3862704,0.273059252,-1.627201883,87.77230105,seventy_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.625172088
