Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
Fialho et al. 2014,-34.92133333,-6.994111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3234,832,area,1,0,521.0044116,23,21
Fialho et al. 2014,-34.99244444,-7.600861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3237,226,area,1,0,710.368948,26,22
Fialho et al. 2014,-36.23536111,-9.757416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3247,203,area,1,0,726.3096492,36,23
Fialho et al. 2014,-35.08825,-7.192805556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3231,246,area,1,0,795.1111813,20,24
Fialho et al. 2014,-36.18222222,-10.03508333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3250,4,area,0,60.53535336,934.2716703,39,25
Fialho et al. 2014,-36.29533333,-10.00791667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3251,1,area,0,95.7147978,945.9065499,40,26
Fialho et al. 2014,-34.91027778,-6.860277778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3223,295,area,1,0,1166.602809,12,27
Fialho et al. 2014,-35.02219444,-7.15275,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3230,131,area,1,0,1473.140661,19,28
Fialho et al. 2014,-34.97961111,-6.437222222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3212,133,area,1,0,1501.357534,1,29
Fialho et al. 2014,-36.06397222,-9.881972222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3245,289,area,1,0,1552.019648,34,30
Fialho et al. 2014,-35.10827778,-6.758444444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3219,489,area,1,0,1614.86632,8,31
Fialho et al. 2014,-34.95783333,-7.025166667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3233,346,area,1,0,1977.471465,22,32
Fialho et al. 2014,-35.83636111,-9.262611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3243,623,area,1,0,2442.04213,32,33
Fialho et al. 2014,-35.18247222,-6.726055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3220,467,area,1,0,2907.89538,9,34
Fialho et al. 2014,-35.46830556,-7.608083333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3238,576,area,0,30.26767668,2983.384678,27,35
Fialho et al. 2014,-35.08883333,-7.05825,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3228,203,area,1,0,3039.635198,17,36
Fialho et al. 2014,-35.10283333,-6.96225,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3224,461,area,1,0,3482.218689,13,37
Aguiar et al. 2007,-53.30305556,-22.72472222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2342,1,area,0,281.8623936,0.096885865,16,38
Aguiar et al. 2007,-53.30944444,-22.77527778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2344,4,area,0,44.01951034,0.193771729,18,39
Aguiar et al. 2007,-53.325,-22.72916667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2346,1,area,0,295.2918524,1.06574451,20,40
Aguiar et al. 2007,-53.34805556,-22.75027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2353,1,area,0,69.60095708,1.453287968,27,41
Aguiar et al. 2007,-53.32805556,-22.75888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2348,1,area,0,93.3794828,1.647059697,22,42
Aguiar et al. 2007,-53.28361111,-22.77666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2341,2,area,0,124.5059771,2.034603155,15,43
