Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
Fialho et al. 2014,-35.013,-7.777611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3240,766,area,1,0,466.8609955,29,14
Fialho et al. 2014,-34.86075,-7.14575,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3232,334,area,1,0,511.01857,21,15
Fialho et al. 2014,-35.40391667,-8.712666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3242,1,area,0,30.26767668,664.012656,31,16
Fialho et al. 2014,-35.05261111,-8.525777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Mangroves,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3241,832,area,1,0,698.184389,30,17
Fialho et al. 2014,-34.99244444,-7.600861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3237,384,area,1,0,754.4349093,26,18
Fialho et al. 2014,-36.23536111,-9.757416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3247,211,area,1,0,842.0171526,36,19
Fialho et al. 2014,-35.10597222,-6.731888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3218,615,area,1,0,857.2249479,7,20
Fialho et al. 2014,-35.08825,-7.192805556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3231,302,area,1,0,867.027563,20,21
Fialho et al. 2014,-36.29533333,-10.00791667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3251,1,area,0,95.7147978,1002.248683,40,22
Fialho et al. 2014,-34.97116667,-6.557944444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3213,220,area,1,0,1109.069704,2,23
Fialho et al. 2014,-36.22758333,-10.01591667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3249,75,area,0,30.26767668,1173.198962,38,24
Fialho et al. 2014,-35.15441667,-7.042833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3226,455,area,1,0,1528.933115,15,25
Fialho et al. 2014,-35.02219444,-7.15275,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3230,139,area,1,0,1613.766961,19,26
Fialho et al. 2014,-34.97961111,-6.437222222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3212,181,area,1,0,1638.044466,1,27
Fialho et al. 2014,-34.92133333,-6.994111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3234,697,area,1,0,1673.682011,23,28
Fialho et al. 2014,-36.06397222,-9.881972222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3245,133,area,1,0,1699.058874,34,29
Fialho et al. 2014,-34.91027778,-6.860277778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3223,382,area,1,0,1742.575156,12,30
Fialho et al. 2014,-35.10827778,-6.758444444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3219,504,area,1,0,2097.75963,8,31
Fialho et al. 2014,-34.95783333,-7.025166667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3233,502,area,1,0,2275.214447,22,32
Fialho et al. 2014,-35.83636111,-9.262611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3243,412,area,1,0,2828.64994,32,33
Fialho et al. 2014,-35.18247222,-6.726055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3220,479,area,1,0,3211.409995,9,34
Fialho et al. 2014,-35.39194444,-7.609166667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3239,587,area,1,0,3444.1992,28,35
Aguiar et al. 2007,-53.07222222,-22.64305556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2327,1,area,0,250.9498196,0.581315187,1,36
Aguiar et al. 2007,-53.30305556,-22.72472222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2342,1,area,0,93.3794828,0.581315187,16,37
Aguiar et al. 2007,-53.165,-22.70666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2330,2,area,0,128.3378236,1.647059697,4,38
Aguiar et al. 2007,-53.27861111,-22.70388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2339,1,area,0,376.1028612,5.813151872,13,39
Aguiar et al. 2007,-53.28361111,-22.77666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2341,3,area,0,62.25298853,6.297581195,15,40
Aguiar et al. 2007,-53.34805556,-22.75027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2353,1,area,0,62.25298853,8.719727808,27,41
Aguiar et al. 2007,-53.07888889,-22.64916667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2328,50,area,0,31.12649427,20.15225982,2,42
Aguiar et al. 2007,-53.32805556,-22.75888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2348,1,area,0,62.25298853,22.57440644,22,43
Aguiar et al. 2007,-53.30944444,-22.77527778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2344,4,area,0,44.01951034,30.22838974,18,44
Aguiar et al. 2007,-53.25805556,-22.81194444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2336,1,area,0,44.01951034,31.19724838,10,45
Aguiar et al. 2007,-53.32694444,-22.78777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2347,299,area,1,0,47.08653016,21,46
Aguiar et al. 2007,-53.20722222,-22.7375,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2331,1,area,0,132.058531,50.38064956,5,47
Aguiar et al. 2007,-53.30694444,-22.84361111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2343,123,area,1,0,53.67476895,17,48
Aguiar et al. 2007,-53.325,-22.72916667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2346,190,area,1,0,65.59173029,20,49
Aguiar et al. 2007,-53.215,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2333,70,area,1,0,68.88584969,7,50
Aguiar et al. 2007,-53.35527778,-22.8,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2354,3,area,0,62.25298853,87.48793568,28,51
Aguiar et al. 2007,-53.13472222,-22.65111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2329,1,area,0,31.12649427,101.4395002,3,52
Aguiar et al. 2007,-53.26361111,-22.75555556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2337,203,area,1,0,108.1246248,11,53
Aguiar et al. 2007,-53.33472222,-22.86027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2349,57,area,1,0,123.1419338,23,54
Aguiar et al. 2007,-53.33583333,-22.87861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2350,60,area,1,0,134.7682376,24,55
Aguiar et al. 2007,-53.26638889,-22.73888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2338,1,area,0,286.9720977,137.8685852,12,56
Aguiar et al. 2007,-53.39777778,-22.81083333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2357,1,area,0,69.60095708,144.6505958,31,57
Aguiar et al. 2007,-53.31388889,-22.78583333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2345,223,area,1,0,231.750988,19,58
Aguiar et al. 2007,-53.34222222,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2351,288,area,1,0,235.1419932,25,59
Aguiar et al. 2007,-53.34638889,-22.7775,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2352,326,area,1,0,289.688735,26,60
Aguiar et al. 2007,-53.22583333,-22.73833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2335,1,area,0,31.12649427,413.2182122,9,61
Aguiar et al. 2007,-53.3825,-22.80055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2356,250,area,1,0,612.1248921,30,62
Aguiar et al. 2007,-53.37805556,-22.81888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2355,217,area,1,0,675.5851334,29,63
"Gestich, 2016",-47.89529167,-21.96286389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5654,136,area,1,0,15.46355106,12,64
"Gestich, 2016",-47.92260278,-21.91908889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5655,143,area,1,0,17.92589996,13,65
"Gestich, 2016",-47.99478333,-21.62144167,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5658,57,area,1,0,50.92137516,16,66
"Gestich, 2016",-47.56750556,-21.81781389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5643,116,area,1,0,68.05932347,1,67
"Gestich, 2016",-47.77453056,-21.70749167,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5650,138,area,1,0,91.10690913,8,68
"Gestich, 2016",-47.72764167,-22.00080278,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5649,132,area,1,0,91.50088495,7,69
"Gestich, 2016",-47.92631944,-21.73179444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5656,15,area,0,31.38374672,94.25871572,14,70
"Gestich, 2016",-47.84073333,-21.63543611,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5653,215,area,1,0,127.5496728,11,71
"Gestich, 2016",-47.6527,-21.73751111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5644,83,area,1,0,146.2635244,2,72
"Gestich, 2016",-47.68424722,-21.79814722,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5645,97,area,1,0,218.6565819,3,73
"Gestich, 2016",-47.82331667,-21.396725,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5651,65,area,1,0,223.7782676,9,74
"Gestich, 2016",-47.83805278,-21.97695,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5652,126,area,1,0,296.9592768,10,75
"Gestich, 2016",-47.78342222,-21.90458056,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5646,151,area,1,0,322.1737295,4,76
"Gestich, 2016",-47.93160833,-21.813775,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5657,122,area,1,0,373.3905865,15,77
"Gestich, 2016",-47.59541389,-21.72734444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5648,84,area,1,0,379.8911876,6,78
"Gestich, 2016",-47.85143889,-21.82875,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5647,219,area,1,0,460.1637616,5,79
Pyritz et al. 2010,-63.166785,-17.925957,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2362,51,area,0,86.73348027,0.470168537,5,80
Pyritz et al. 2010,-62.895966,-17.740141,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2358,224,area,1,0,1.12840449,1,81
Pyritz et al. 2010,-62.927585,-17.845909,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2359,159,area,1,0,407.1659534,2,82
Pyritz et al. 2010,-63.064902,-17.78048,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2360,80,area,1,0,488.4110767,3,83
Pyritz et al. 2010,-63.147683,-17.92593,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2361,202,area,1,0,1207.862973,4,84
Chiarello 1999,-40.14874167,-18.34444722,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,0,1995,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,4,30,area,1,0,2775.052585,4,85
Chiarello 1999,-39.80627778,-18.26845278,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,0,1995,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,5,587,area,1,0,5095.882717,5,86
Chiarello 1999,-39.94515556,-19.11418056,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,1,1995,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,6,268,area,1,0,8018.299066,6,87
Chiarello 1999,-40.12372,-19.805467,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,1,1995,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,2,711,area,1,0,8487.834623,2,88
Chiarello 1999,-40.13806389,-19.01885278,Brazil,Neotropics,Atelidae,Alouatta,Alouatta fusca,Alouatta_guariba,1,1995,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,c,Alouatta_guariba_c,3,20,area,1,0,9479.805548,3,89
de Almeida e Silva et al. 2017,-45.90805556,-23.18777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5917,1,area,0,383.0423922,0.098470788,12,90
