Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new
Aguiar et al. 2007,-53.33472222,-22.86027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2349,75,75
Aguiar et al. 2007,-53.33583333,-22.87861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2350,75,75
Aguiar et al. 2007,-53.34222222,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2351,75,75
Aguiar et al. 2007,-53.34638889,-22.7775,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2352,75,75
Aguiar et al. 2007,-53.34805556,-22.75027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2353,75,75
Aguiar et al. 2007,-53.35527778,-22.8,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2354,75,75
Aguiar et al. 2007,-53.37805556,-22.81888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2355,75,75
Aguiar et al. 2007,-53.3825,-22.80055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2356,75,75
Aguiar et al. 2007,-53.39777778,-22.81083333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2357,75,75
Aguiar et al. 2007,-53.07222222,-22.64305556,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3120,75,75
Aguiar et al. 2007,-53.07888889,-22.64916667,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3121,75,75
Aguiar et al. 2007,-53.13472222,-22.65111111,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3122,75,75
Aguiar et al. 2007,-53.165,-22.70666667,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3123,75,75
Aguiar et al. 2007,-53.20722222,-22.7375,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3124,75,75
Aguiar et al. 2007,-53.21166667,-22.72583333,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3125,75,75
Aguiar et al. 2007,-53.215,-22.79388889,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3126,75,75
Aguiar et al. 2007,-53.21666667,-22.79277778,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3127,75,75
Aguiar et al. 2007,-53.22583333,-22.73833333,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3128,75,75
Aguiar et al. 2007,-53.25805556,-22.81194444,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3129,75,75
Aguiar et al. 2007,-53.26361111,-22.75555556,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3130,75,75
Aguiar et al. 2007,-53.26638889,-22.73888889,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3131,75,75
Aguiar et al. 2007,-53.27861111,-22.70388889,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3132,75,75
Aguiar et al. 2007,-53.28305556,-22.75694444,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3133,75,75
Aguiar et al. 2007,-53.28361111,-22.77666667,Brazil,Neotropics,Cebidae,Cebus,Cebus libidinosus,Sapajus_libidinosus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus libidinosus,Near Threatened,146,a,Sapajus_libidinosus_a,3134,75,75
