Dataset,n,simulation_number,patch_comb_number,vars,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,habitat_amount,Cumulative_Occurrence,Source,Realm,Family,Genus,Taxon_ITIS,TaxonNameIUCN,redlistCategory,Occurrence,mean_patch_area_log
Alouatta_belzebul_a,6,1,17,1,282.9169082,273.2483853,136.4578989,282.9169082,70.90105069,61.65570054,726.3096492,664.6539487,0.643585636,-1.625094344,111.5531862,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.451658903
Alouatta_belzebul_a,4,1,18,1,430.4218352,383.7056399,432.4602295,430.4218352,486.6637255,61.65570054,795.1111813,733.4554808,-0.002605594,-2.410685823,191.85282,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.633894295
Alouatta_belzebul_a,3,1,19,1,552.1834459,492.2619452,710.368948,552.1834459,349.2080486,0.274839676,945.9065499,945.6317102,-0.288161498,-2.333333333,284.2075666,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.742083383
Alouatta_belzebul_a,3,1,20,1,555.9090504,356.39053,726.3096492,555.9090504,102.0051515,146.3063206,795.1111813,648.8048607,-0.368825158,-2.333333333,205.7621684,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.745003745
Alouatta_belzebul_a,4,1,21,1,425.1540747,356.239157,308.0494697,425.1540747,126.3179639,138.6108097,945.9065499,807.2957402,0.633057464,-1.747950321,178.1195785,twenty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.628546346
Alouatta_belzebul_a,7,1,25,1,486.4007877,289.5780807,500.024983,486.4007877,283.1967256,61.65570054,945.9065499,884.2508494,0.15051601,-1.336475935,109.4502267,forty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.68699427
Alouatta_belzebul_a,11,1,26,1,311.7264914,198.8032666,307.0875308,289.5792255,267.5767623,96.46872611,726.3096492,629.8409231,0.643817432,-0.800252216,59.94144023,forty_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.493773711
Alouatta_belzebul_a,6,1,27,1,567.7271564,317.5388763,613.8544153,567.7271564,302.0765073,61.65570054,934.2716703,872.6159698,-0.368296195,-1.55707723,129.6347034,forty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.754139669
Alouatta_belzebul_a,8,1,28,1,424.9364933,284.7260037,324.9521097,424.9364933,283.4683771,126.6094772,945.9065499,819.2970727,0.605032606,-1.184552086,100.665844,forty_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.62832403
Alouatta_belzebul_a,11,1,29,1,307.0542169,302.1242027,266.9609381,270.1572218,224.384168,0.274839676,945.9065499,945.6317102,1.029100946,-0.382299218,91.09387458,forty_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.487215066
Alouatta_belzebul_a,11,1,30,1,305.4884636,302.8909749,146.3063206,268.2435233,178.8825359,0.274839676,945.9065499,945.6317102,1.052650343,-0.40713736,91.32506512,forty_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.484994814
Alouatta_belzebul_a,6,1,31,1,564.7344577,310.1400126,605.8840647,564.7344577,360.3457616,126.6094772,945.9065499,819.2970727,-0.169728881,-1.819791096,126.6141299,forty_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.751844287
Alouatta_belzebul_a,9,1,32,1,381.7014131,250.8918207,309.0114085,381.7014131,241.2265633,126.6094772,945.9065499,819.2970727,1.064297478,0.071797068,83.6306069,forty_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.581723768
Alouatta_belzebul_a,11,1,33,1,300.6496196,210.1292949,277.2216194,288.5002253,205.5043865,0.274839676,710.368948,710.0941083,0.429889216,-0.982908541,63.35636625,forty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.478060659
Alouatta_belzebul_a,9,1,34,1,376.6016102,290.582459,277.2216194,376.6016102,239.5966541,96.46872611,934.2716703,837.8029442,0.705974054,-1.059624224,96.86081968,forty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.575882173
Alouatta_belzebul_a,7,1,35,1,474.6481196,386.9428999,309.0114085,474.6481196,457.7328369,0.274839676,945.9065499,945.6317102,0.1296436,-1.943218837,146.2506693,forty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.676371765
Alouatta_belzebul_a,6,1,36,1,555.359371,327.382959,613.8544153,555.359371,380.515888,96.46872611,945.9065499,849.4378238,-0.20154456,-1.858275295,133.6535333,forty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.744574104
Alouatta_belzebul_a,7,1,37,1,487.5655844,273.4265426,501.3991814,487.5655844,332.3656534,61.65570054,795.1111813,733.4554808,-0.251315782,-1.722436349,103.3455191,forty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.688033043
Alouatta_belzebul_a,7,1,38,1,469.2952898,347.6136151,521.0044116,469.2952898,361.4323677,0.274839676,934.2716703,933.9968306,-0.077704639,-1.826986024,131.3855969,forty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.671446195
Alouatta_belzebul_a,6,1,39,1,559.8636879,377.9449855,605.8840647,559.8636879,494.6774458,0.274839676,945.9065499,945.6317102,-0.268993364,-1.792701398,154.2953942,forty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.748082301
Alouatta_belzebul_a,15,1,21,1,384.0731777,319.3990587,307.0875308,370.378175,283.8758544,0.274839676,945.9065499,945.6317102,0.629963845,-1.213514953,82.46848234,seventy_percent,7,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.584413979
Alouatta_belzebul_a,15,1,22,1,390.2540166,276.121549,309.0114085,377.5099123,285.2341121,0.274839676,945.9065499,945.6317102,0.458950685,-0.929817537,71.29427738,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.591347382
Alouatta_belzebul_a,14,1,23,1,419.4184325,296.3601728,324.9521097,405.3579837,277.7636949,61.65570054,945.9065499,884.2508494,0.580292355,-1.093300443,79.20558784,seventy_percent,7,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.622647513
Alouatta_belzebul_a,14,1,24,1,414.7985084,328.993769,347.3515433,405.083144,357.765072,0.274839676,945.9065499,945.6317102,0.356649795,-1.460036155,87.92728328,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.617837186
Alouatta_belzebul_a,14,1,25,1,421.8069201,278.0276286,348.3134821,406.2130404,305.2004999,96.46872611,934.2716703,837.8029442,0.415035625,-1.357986889,74.30600932,seventy_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.6251137
Alouatta_belzebul_a,15,1,26,1,398.0228181,269.1080526,340.8928109,386.473914,267.0334592,0.274839676,945.9065499,945.6317102,0.488056354,-0.870111947,69.4834004,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.59990797
Alouatta_belzebul_a,13,1,27,1,443.372774,279.8243757,387.6155557,433.4471537,357.765072,61.65570054,934.2716703,872.6159698,0.273371069,-1.418298196,77.60931806,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.646769021
Alouatta_belzebul_a,11,1,28,1,523.7444798,301.1375526,501.3991814,528.1807809,332.3656534,61.65570054,945.9065499,884.2508494,-0.026376409,-1.43789194,90.7963884,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.719119459
Alouatta_belzebul_a,12,1,29,1,485.4813835,265.5046076,500.7120822,477.5889042,322.654111,115.6158902,934.2716703,818.6557801,0.140383181,-1.438128906,76.64457835,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.686172581
Alouatta_belzebul_a,14,1,30,1,412.0959182,346.3251071,309.0572152,401.9301222,340.9905897,0.274839676,945.9065499,945.6317102,0.330153145,-1.664964476,92.55927823,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.614998313
Alouatta_belzebul_a,16,1,31,1,359.1524718,259.1093437,308.0494697,343.7066457,276.8129144,0.274839676,934.2716703,933.9968306,0.668713493,-0.593295993,64.77733591,seventy_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.55527886
Alouatta_belzebul_a,16,1,32,1,362.11845,272.181696,308.0494697,346.2652722,277.8316077,0.274839676,945.9065499,945.6317102,0.653831097,-0.691753361,68.045424,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.558850653
Alouatta_belzebul_a,16,1,33,1,365.7028174,281.2637523,323.9901709,350.3616921,283.4683771,0.274839676,945.9065499,945.6317102,0.546483309,-0.941641124,70.31593806,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.563128306
Alouatta_belzebul_a,18,1,34,1,332.1081205,260.1495914,292.1545751,314.4852987,253.5867082,0.274839676,945.9065499,945.6317102,0.807516992,-0.38254353,61.31784672,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.521279495
Alouatta_belzebul_a,16,1,35,1,362.9658723,244.7641139,323.9901709,358.0048526,269.1387586,0.274839676,795.1111813,794.8363416,0.291346925,-1.227853247,61.19102849,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.559865793
Alouatta_belzebul_a,14,1,36,1,413.4701166,311.2070197,308.0494697,398.4182819,285.9811538,61.65570054,945.9065499,884.2508494,0.570675314,-1.293322072,83.17357457,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.616444127
Alouatta_belzebul_a,15,1,37,1,393.6070606,295.7672635,309.0114085,381.3788092,286.7281954,0.274839676,945.9065499,945.6317102,0.560974968,-0.894566077,76.36677905,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.59506288
Alouatta_belzebul_a,16,1,38,1,375.8661596,262.0635093,324.9521097,361.9769403,270.5649291,0.274839676,945.9065499,945.6317102,0.530680246,-0.736255536,65.51587733,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.575033227
Alouatta_belzebul_a,13,1,39,1,459.4685129,307.7406245,387.6155557,456.9917526,357.765072,0.274839676,945.9065499,945.6317102,0.263520784,-1.355910873,85.35189241,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.662255755
Alouatta_belzebul_a,16,1,40,1,377.0113249,292.2086915,324.9521097,364.1167635,302.212333,0.274839676,934.2716703,933.9968306,0.438356128,-1.258704086,73.05217287,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.576354396
Alouatta_belzebul_a,13,1,1,1,454.1267572,313.9679035,500.024983,450.6787685,335.4896461,0.274839676,945.9065499,945.6317102,0.149398076,-1.407020917,87.07902884,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.657177091
Alouatta_belzebul_a,15,1,2,1,397.0456104,277.8632668,309.0114085,386.2413573,252.6359278,0.274839676,934.2716703,933.9968306,0.504624192,-1.098701267,71.74398699,seventy_percent,4,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.598840399
Alouatta_belzebul_a,14,1,3,1,422.27153,314.5797698,323.9901709,408.6865975,292.3649649,61.65570054,945.9065499,884.2508494,0.467519283,-1.419302105,84.07497997,seventy_percent,8,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.625591802
Alouatta_belzebul_a,15,1,4,1,394.0162664,266.2751653,340.8928109,374.45144,288.4939305,96.46872611,945.9065499,849.4378238,0.591320555,-0.925699946,68.75195205,seventy_percent,7,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.595514151
Alouatta_belzebul_a,16,1,5,1,373.8735719,285.7183627,308.0494697,359.6996972,276.8129144,0.274839676,945.9065499,945.6317102,0.778901309,-0.578752514,71.42959068,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.572724767
Alouatta_belzebul_a,17,1,6,1,352.3983542,265.5166974,307.0875308,337.0817007,267.5767623,0.274839676,934.2716703,933.9968306,0.751812069,-0.593980458,64.39725817,seventy_percent,7,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.547033871
Alouatta_belzebul_a,12,1,7,1,486.5654733,328.4700438,454.3099837,479.6410404,476.9521831,96.46872611,945.9065499,849.4378238,0.08894817,-1.756838322,94.8211341,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.687141288
Alouatta_belzebul_a,16,1,8,1,375.5913199,292.9243244,293.116514,361.6628378,299.1562532,0.274839676,945.9065499,945.6317102,0.487673434,-1.210639643,73.23108111,seventy_percent,5,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.574715547
Alouatta_belzebul_a,15,1,9,1,394.0223739,264.7532709,309.0114085,378.0314029,283.1967256,61.65570054,934.2716703,872.6159698,0.578097327,-0.920389507,68.35900061,seventy_percent,6,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.595520883
